"season","team","conference","games","time_of_poss_total","pass_comps","pass_atts","net_pass_yds","pass_TDs","interceptions","rush_atts","rush_yds","rush_TDs","total_yds","fumbles_lost","turnovers","first_downs","third_downs","third_down_convs","fourth_down_convs","fourth_downs","penalties","penalty_yds","kick_returns","kick_return_yds","kick_return_TDs","punt_returns","punt_return_yds","punt_return_TDs","passes_intercepted","passes_intercepted_yds","passes_intercepted_TDs"
2019,"Kentucky","SEC",13,25080,128,257,1478,9,8,573,3624,36,5102,12,20,252,162,63,14,27,75,661,22,437,0,19,143,0,8,95,0
2019,"Illinois","Big Ten",13,19974,197,364,2397,19,9,484,1845,19,4242,9,18,223,177,62,5,14,87,797,35,710,0,22,119,0,12,249,4
2019,"Michigan State","Big Ten",13,24483,270,464,3182,17,15,468,1653,12,4835,9,24,274,192,70,13,21,75,700,28,446,0,27,167,0,12,124,1
2019,"Navy","American Athletic",13,26104,55,104,1238,10,4,773,4687,52,5925,12,16,282,170,80,26,34,54,459,20,220,0,19,112,0,12,57,1
2019,"Texas A&M","SEC",13,25827,273,452,3060,22,10,429,2069,24,5129,10,20,287,160,64,7,11,87,719,26,431,0,26,330,0,10,87,0
2019,"Louisiana Tech","Conference USA",13,23978,285,458,3490,21,10,475,2189,27,5679,9,19,304,175,72,6,16,72,611,36,727,1,13,70,0,17,237,5
2019,"Georgia","SEC",14,27109,255,415,3122,26,6,525,2591,21,5713,7,13,295,188,77,6,10,76,685,16,268,0,25,282,1,8,102,0
2019,"Louisiana","Sun Belt",14,25549,268,412,3314,27,4,574,3604,42,6918,10,14,351,167,80,9,17,98,817,40,932,0,29,191,0,10,102,0
2019,"Louisville","ACC",13,24347,178,302,3048,32,9,567,2768,23,5816,10,19,263,174,76,13,22,93,780,35,904,1,16,187,0,7,38,0
2019,"Old Dominion","Conference USA",12,22126,207,379,2117,5,12,431,1168,16,3285,7,19,203,183,57,20,33,71,729,31,700,0,14,100,0,9,132,0
2019,"Liberty","FBS Independents",13,21746,257,452,3756,29,8,435,1956,25,5712,8,16,289,168,68,5,16,88,801,44,970,1,19,10,0,12,147,1
2019,"Oregon","Pac-12",14,23722,298,446,3615,35,6,510,2448,26,6063,5,11,319,177,74,13,25,84,860,29,762,2,18,258,0,20,293,2
2019,"Hawai'i","Mountain West",15,28108,396,635,5059,42,17,420,2011,21,7070,13,30,368,186,88,20,33,103,918,52,1092,0,22,102,1,14,323,4
2019,"Houston","American Athletic",12,22289,176,314,2440,19,12,466,2258,20,4698,9,21,231,155,54,12,17,58,579,28,564,2,17,182,2,8,83,1
2019,"App State","Sun Belt",14,25733,230,369,2815,30,6,599,3240,35,6055,3,9,294,198,88,14,16,95,900,25,562,1,24,220,1,14,149,4
2019,"Colorado","Pac-12",12,22027,257,411,2858,18,11,436,1804,14,4662,3,14,257,179,74,12,20,85,726,25,480,0,10,57,0,11,40,0
2019,"Arizona State","Pac-12",13,22795,233,383,3235,21,4,459,1602,13,4837,10,14,233,187,72,9,16,85,818,23,606,0,19,247,1,13,113,1
2019,"Western Kentucky","Conference USA",13,24956,313,469,3371,20,12,431,1670,18,5041,9,21,267,184,75,15,25,53,514,36,671,0,16,65,0,11,49,1
2019,"Georgia State","Sun Belt",13,23100,238,385,2577,22,9,596,3141,30,5718,7,16,305,195,89,13,27,56,557,21,114,0,10,32,0,9,148,1
2019,"Clemson","ACC",15,27242,326,509,4325,40,10,566,3606,45,7931,5,15,392,181,80,6,12,85,675,23,504,0,34,185,0,19,254,2
2019,"Fresno State","Mountain West",12,20927,240,372,2719,17,11,394,1911,27,4630,7,18,232,148,55,6,13,75,634,34,625,0,9,120,0,11,165,1
2019,"LSU","SEC",15,27200,426,567,6024,61,7,513,2502,32,8526,5,12,419,183,90,7,10,93,936,23,291,0,22,252,2,17,87,0
2019,"Minnesota","Big Ten",13,26620,212,323,3293,31,8,560,2323,25,5616,7,15,295,161,78,13,20,55,502,19,344,0,11,37,0,14,240,3
2019,"Wake Forest","ACC",13,23609,282,469,3748,31,13,586,2282,18,6030,4,17,307,230,108,7,17,57,460,26,424,0,28,211,0,14,10,0
2019,"Florida Atlantic","Conference USA",14,23934,314,502,3922,30,8,551,2325,32,6247,4,12,329,202,80,13,22,95,852,27,406,0,21,114,1,22,221,0
2019,"Oklahoma","Big 12",14,25995,262,381,4164,36,9,565,3361,38,7525,10,19,348,155,77,8,12,101,1038,35,608,0,28,187,1,7,31,1
2019,"Maryland","Big Ten",12,18541,172,342,2088,16,12,425,2034,23,4122,9,21,201,169,54,8,26,70,585,45,1023,2,9,123,1,10,94,0
2019,"Georgia Southern","Sun Belt",13,25414,80,155,968,9,1,667,3323,29,4291,10,11,224,166,51,6,14,66,569,20,398,1,8,117,1,9,98,2
2019,"Arkansas","SEC",12,20031,202,407,2315,14,15,376,1766,14,4081,6,21,219,166,55,8,20,61,492,42,649,0,14,160,0,6,60,0
2019,"Central Michigan","Mid-American",14,25435,290,473,3531,19,13,523,2545,36,6076,17,30,311,200,81,17,30,118,925,38,749,0,27,212,0,13,135,0
2019,"Toledo","Mid-American",12,21437,193,339,2515,15,7,516,2689,27,5204,12,19,261,171,65,18,31,67,603,46,957,0,20,154,0,7,54,0
2019,"Ball State","Mid-American",12,21796,239,373,2923,24,7,536,2633,27,5556,9,16,292,173,71,12,23,71,635,43,948,1,14,112,0,15,71,0
2019,"Army","FBS Independents",13,25472,59,126,1066,6,7,743,3863,45,4929,11,18,272,168,76,26,39,60,496,26,285,0,14,37,0,7,155,0
2019,"Mississippi State","SEC",13,24701,186,315,2333,19,10,529,2868,27,5201,13,23,279,149,58,7,18,72,578,26,430,0,11,48,0,10,163,2
2019,"North Texas","Conference USA",12,20261,283,454,3400,33,12,396,1626,11,5026,7,19,252,173,64,18,32,64,672,51,1141,1,20,160,1,4,39,0
2019,"Middle Tennessee","Conference USA",12,19270,225,365,2815,22,9,406,2085,18,4900,5,14,247,148,52,9,17,57,511,39,163,0,4,11,0,8,68,1
2019,"UCF","American Athletic",13,20660,271,457,4117,36,8,559,2909,34,7026,7,15,332,201,81,19,33,111,959,22,327,0,27,285,1,13,239,2
2019,"South Carolina","SEC",12,19453,268,466,2667,12,7,396,1796,18,4463,7,14,232,186,59,13,27,79,656,22,425,0,12,146,0,12,102,1
2019,"Texas","Big 12",13,24006,306,470,3761,32,10,480,2295,26,6056,4,14,324,185,90,7,19,95,890,26,450,1,17,155,0,12,100,0
2019,"Northern Illinois","Mid-American",12,23584,215,370,2621,14,11,454,1683,15,4304,8,19,220,179,58,12,23,62,539,21,141,0,16,83,1,4,103,2
